university,year,数据3,数据1,数据1-子项目1,数据1-子项目2,数据1-子项目3,数据1-子项目4,数据1-子项目5,数据2,数据2-子项目a,数据2-子项目b,数据2-子项目c,数据2-子项目d,数据2-子项目e,数据2-子项目f
中国农业大学,2015,12.423,351.55,46.1,38.15,91.62,73.94,101.75,400.94,58.27,81.41,89.13,88.66,63.54,19.93
中国人民大学,2015,12.483,260.25,40.61,72.84,40.63,90.07,16.1,326.42,64.46,76.09,61.66,21.13,85.81,17.27
中国石油大学(北京),2015,14.304,293.49,45.79,77.97,2.53,119.34,47.86,440.31,105.71,62.8,93.75,63.05,84.48,30.51
中国石油大学(华东),2015,12.972,354.44,55.31,60.29,99.5,98.12,41.22,315.28,95.41,85.57,0.43,9.31,52.75,71.81
中国药科大学,2015,11.037,283.05,63.68,14.54,73.63,92.42,38.78,310.78,75.89,20.07,14.08,45.79,74.51,80.44
中国政法大学,2015,9.85,335.21,36.91,64.08,76.63,111.84,45.75,338.4,97.6,81.18,30.6,73.97,15.27,39.77
中南财经政法大学,2015,18.741,286.58,80.83,61.54,72.57,53.7,17.94,218.17,53.94,31.48,15.56,24.48,33.04,59.68
中南大学,2015,9.348,382.88,75.82,48.93,68.15,147.52,42.47,443.68,92.68,64.67,74.37,84.39,109.47,18.1
中山大学,2015,14.573,432.15,11.7,175,41.76,114.58,89.11,569.45,145.45,53.98,98.2,26.91,143.7,101.2
中央财经大学,2015,14.221,186.03,59.08,33.54,7.31,35.11,50.99,281.55,110.07,27.18,15.4,22.17,40.25,66.48
中央美术学院,2015,18.654,222.86,70.9,18.34,54.56,36.78,42.28,357.64,38.02,35.55,96.44,61,91.26,35.37
中央戏剧学院,2015,15.176,252.73,25,52.83,29.09,109.28,36.52,382.32,77.09,32.5,81.3,91.37,18.46,81.6
中央音乐学院,2015,12.137,241.39,84.5,1.37,38.89,104.62,12.02,353.42,28.77,98.48,58.4,74.01,65.31,28.46
重庆大学,2015,15.126,363.31,80.54,82.14,12.89,128.82,58.91,349.56,96.47,34.15,52.22,4.69,61.64,100.41
高校汇总,2015,13.457,27635.28,4559.85,5139.26,4037.72,8867.47,5030.98,29564.11,7126.29,4337.06,3816.84,3795.75,6704.23,3783.95
