university,year,数据3,数据1,数据1-子项目1,数据1-子项目2,数据1-子项目3,数据1-子项目4,数据1-子项目5,数据2,数据2-子项目a,数据2-子项目b,数据2-子项目c,数据2-子项目d,数据2-子项目e,数据2-子项目f
南京农业大学,2016,24.5,305.87,48.8,96.28,23.18,47.68,89.94,308.49,72.29,103.16,2.67,61.89,24.33,44.16
南开大学,2016,53.6,221.72,80.62,5.89,26.04,52.85,56.31,311.95,118.13,36.92,23.33,9.46,71.02,53.09
清华大学,2016,201.5,734.02,31.2,138.47,99.38,356.22,108.74,782.34,262.52,108.62,33.82,72.54,247.88,56.96
厦门大学,2016,91,400.87,5.86,88.4,64.41,166.73,75.47,462.57,181.06,86.53,0.85,27.83,126.75,39.55
山东大学,2016,90,440.69,85.58,21.02,57.56,206.32,70.22,484.32,137.91,47.54,84.12,14.49,115.4,84.85
陕西师范大学,2016,39.7,284.13,22.56,108.02,13.76,78.11,61.68,367.7,33.33,83.34,92.42,58.25,30.3,70.06
上海财经大学,2016,19.8,306.95,75.49,91.81,52.87,47.47,39.31,396.12,84.05,98.59,77.04,4.09,86.11,46.24
上海交通大学,2016,121.4,468.77,45.84,118.6,23.35,169.27,111.7,607.56,166.88,107.4,50.97,26.08,183.31,72.93
上海外国语大学,2016,17.5,298.78,92.3,63.51,37.6,54.66,50.71,284.73,75.98,20.06,7.09,22.81,106.07,52.71
四川大学,2016,70.6,430.12,68.36,50.89,53.99,161.84,95.05,437.15,76,34.71,25.8,73.23,129.02,98.38
天津大学,2016,114.3,341.45,15.06,102.7,27.2,151.33,45.16,499.95,122.85,92.78,88.48,23.78,119,53.06
同济大学,2016,97.4,467.44,63.39,113.71,10.98,191.42,87.95,495.85,142.05,82.48,47.43,18.7,120.25,84.95
武汉大学,2016,66.1,384.42,84.04,103.04,41.48,96.89,58.97,462.6,138.89,60.83,83.58,65.52,97.64,16.14
武汉理工大学,2016,40.7,368.31,97.93,37.15,47.74,147.11,38.37,373.95,109.3,87.63,27.28,2.5,86.38,60.86
西安电子科技大学,2016,49.9,247.68,45.55,31.82,60.66,66.69,42.97,447.26,145.72,1.82,91.78,40.08,90.99,76.86
西安交通大学,2016,66.3,503.19,90.46,55.19,80.19,171.99,105.36,374.31,81.29,101.9,17.58,3.96,130.02,39.55
西北农林科技大学,2016,42.8,244.69,4.33,103.84,45.45,63.39,27.68,218.27,87.51,10.34,52.54,7.48,42.82,17.58
西南财经大学,2016,21.5,256,2.21,73.15,86.29,34.63,59.72,306.78,91.95,75.24,24.58,16.65,80.46,17.91
西南大学,2016,40.5,226.36,12.76,48.95,86.08,55.84,22.74,232.33,72.47,89.26,6.44,24.22,30.62,9.32
西南交通大学,2016,48.9,318.29,64.86,12.97,48.38,92.51,99.57,366.11,133,109.6,24.67,2.36,64.49,32
长安大学,2016,31.9,284.11,7.38,75.33,47.73,104.38,49.3,440.13,69.03,57.78,81.37,64.38,111.81,55.76
浙江大学,2016,112.1,568.21,13.12,162.24,50.92,225.38,116.55,598.58,129.7,49.75,9.97,68.35,259.07,81.75
中国传媒大学,2016,25.4,256.19,16.45,49.91,59.34,102,28.49,293.8,33.73,82.37,21.88,82.76,22.84,50.21
中国地质大学(北京),2016,23.4,180.82,5.69,7,19.94,46.32,101.87,302.12,84.63,1.79,66.3,8.77,66.19,74.43
中国地质大学(武汉),2016,24.7,238.49,76.19,62.47,26.8,52.88,20.15,228.5,61.28,18,79.61,3.91,28.67,37.04
中国海洋大学,2016,37.6,220.23,4.51,100.53,7.61,48.04,59.54,335.62,47.45,30.79,73.18,51.35,83.07,49.78
中国矿业大学(北京),2016,18.8,235.75,99.68,5.15,61.84,31.36,37.72,356.12,56.13,52.56,65.43,46.5,44.96,90.55
中国矿业大学(徐州),2016,34.4,303.43,94.56,93.82,20.65,49.72,44.69,318.38,65.87,47.57,26.61,98.83,73.92,5.58
中国农业大学,2016,48.9,245.16,22.97,49.44,3.2,110,59.55,432.9,140.64,57.97,81.47,21.49,51.83,79.5
中国人民大学,2016,42.6,288.33,45.92,84.06,69.53,77.65,11.16,499.28,114.87,115.77,18.59,55.62,107.08,87.36
中国石油大学(北京),2016,18.4,323.99,11.43,100.82,95.47,35.35,80.93,302.7,56.78,49.48,13.96,18.38,116.89,47.22
中国石油大学(华东),2016,45.4,270.06,48.28,70.95,28.3,61.26,61.27,334.77,62.71,59.64,44.16,53.52,25.8,88.94
中国药科大学,2016,23.1,168.37,50.5,36.15,1.29,65.08,15.35,104.44,37.36,16.25,1.51,21.41,18.53,9.38
中国政法大学,2016,15.5,214.61,14.37,66.41,23.99,69.32,40.51,234.45,68.41,42.53,38.56,31.37,41.25,12.33
中南财经政法大学,2016,18,139.75,34.86,17.24,1.47,23.17,63.01,202.96,88,1.57,27.23,24.98,22.08,39.11
中南大学,2016,60.7,263.41,43.96,73.55,57.53,71.44,16.94,412.62,137.45,68.84,15.48,71.68,44.78,74.38
中山大学,2016,85.8,412.18,7.33,145.4,33.43,142,84.03,573.1,128.45,20.16,52.63,85.53,186.47,99.87
中央财经大学,2016,21.4,268.18,31.9,76.58,83.22,44.17,32.31,417.67,30.46,71.36,43.59,78.36,94.26,99.63
中央美术学院,2016,14.5,358.04,9.55,98.74,61.9,109.12,78.74,429.88,75.05,81.02,59.25,70.17,64.32,80.06
中央戏剧学院,2016,6.2,106.22,1.57,27.82,3.95,19.07,53.8,207.31,44.2,16.22,1.48,84.08,35.68,25.65
中央音乐学院,2016,8.6,343.17,99.2,51.74,49.42,92.76,50.05,282.92,32.67,53.61,70.71,89.1,36.3,0.54
重庆大学,2016,49.6,303,47.16,37.61,28.2,128.31,61.72,493.62,103.07,17.18,77.35,85.31,125.17,85.54
高校汇总,2016,3566.7,23966.35,3280.02,4964.58,3456.23,7554.35,4711.17,28827.83,6830.59,4268.07,3513.38,3626.51,6395.95,4193.34
